country_code,country_name,data_used,un_development_lvl,oecd_member,age_sex_group,total_pop,migrant_pop_2015,migrant_pop_2017,migrant_pop_2019,fb_expats,fb_users,fb_penetration
4,Afghanistan,B,Less Developed Regions,FALSE,male_age3,1299121,20309,5485,6150,31000,660000,0.508035818064676
4,Afghanistan,B,Less Developed Regions,FALSE,male_age4,1068167,18696,5359,6009,9800,150000,0.14042747997270089
4,Afghanistan,B,Less Developed Regions,FALSE,male_age5,868020,15530,4955,5556,6400,94000,0.10829243565816456
4,Afghanistan,B,Less Developed Regions,FALSE,male_age6,677226,12202,4310,4838,3300,49000,0.07235398522797412
4,Afghanistan,B,Less Developed Regions,FALSE,male_age7,529188,9448,3424,3848,2100,36000,0.06802875348647362
4,Afghanistan,B,Less Developed Regions,FALSE,male_age8,411379,7576,2560,2879,1100,20000,0.0486169687806135
4,Afghanistan,B,Less Developed Regions,FALSE,male_age9,305081,8169,1697,1917,1000,14000,0.04588945230938669
4,Afghanistan,B,Less Developed Regions,FALSE,female_age0,2251504,17076,5804,6508,5700,110000,0.04885623121255836
4,Afghanistan,B,Less Developed Regions,FALSE,female_age1,1909206,20608,5444,6083,15000,230000,0.12046892792082153
4,Afghanistan,B,Less Developed Regions,FALSE,female_age2,1498590,22009,5692,6355,14000,200000,0.13345878459084873
4,Afghanistan,B,Less Developed Regions,FALSE,female_age3,1179138,21111,5497,6138,7400,110000,0.09328848701339452
4,Afghanistan,B,Less Developed Regions,FALSE,female_age4,988220,19067,4974,5553,1200,17000,0.017202647183825463
4,Afghanistan,B,Less Developed Regions,FALSE,female_age5,790703,15595,4332,4838,1000,12000,0.015176368370930678
4,Afghanistan,B,Less Developed Regions,FALSE,female_age6,627510,12135,3639,4068,1000,6600,0.010517760673136683
4,Afghanistan,B,Less Developed Regions,FALSE,female_age7,503171,9298,2881,3223,1000,5100,0.010135719268399809
4,Afghanistan,B,Less Developed Regions,FALSE,female_age8,396460,7326,2143,2401,1000,2800,0.007062503152903193
